Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Howard County,2025,Total Non-Hispanic Other,6540,7112,7607,7094,6237,6343,6373,6338,6952,6617,6358,5260,4611,3594,2651,1998,1286,897,93868
Montgomery County,2040,Total Non-Hispanic Other,17626,17800,17090,16087,13762,16087,18188,18982,17937,15750,15385,16208,16380,15810,14110,12247,8743,12835,281027
Charles County,2040,Total Female,18335,19711,21655,21396,14717,14531,16045,18304,20317,20159,16433,14073,13357,15481,14930,12087,5300,3597,280428
Wicomico County,2030,Total Non-Hispanic Other,695,572,471,508,903,758,665,525,525,419,426,394,320,286,214,125,69,19,7894
Anne Arundel County,2040,Total Non-Hispanic Other,4749,4775,4626,3912,3530,3618,5397,4987,4371,3693,3276,3436,3279,2781,2214,1707,1317,440,62108
Harford County,2025,Total Non-Hispanic Other,1591,1402,1423,1947,1417,1262,1156,1121,1187,1067,1070,931,909,728,489,297,201,70,18268
St. Mary's County,2040,Total Non-Hispanic Other,1021,1042,1175,945,613,627,994,860,717,616,517,482,505,362,386,300,130,67,11359
Montgomery County,2030,Total Non-Hispanic Other,15640,15149,14758,15200,14208,16557,16594,14884,14533,15792,16303,16069,14808,13808,11363,8458,5850,7853,247827
St. Mary's County,2015,Total Non-Hispanic Other,538,877,812,654,441,378,377,392,356,400,411,335,252,181,119,60,26,23,6632
Prince George's County,2040,Total Non-Hispanic Other,4793,4138,3892,3832,4441,4851,4920,4946,4637,5008,4761,4353,4364,3408,2596,1891,1144,915,68890
Cecil County,2040,Total Non-Hispanic Other,748,748,777,638,442,402,643,658,615,420,320,294,236,158,92,48,30,10,7279
Kent County,2025,Total Non-Hispanic Other,36,26,26,78,70,30,30,17,21,23,16,20,25,26,16,8,5,2,475
Caroline County,2030,Total Non-Hispanic Other,190,145,128,82,121,104,89,77,71,49,43,40,29,26,26,16,9,6,1251
Calvert County,2020,Total Non-Hispanic White,1955,2000,2363,2542,2180,2183,2389,2241,1930,1949,2747,3292,2793,2170,1645,1008,552,452,113326
Worcester County,2015,Total Non-Hispanic Other,158,224,210,175,87,68,80,95,83,83,111,96,81,53,39,23,8,13,1687
Caroline County,2025,Total Non-Hispanic Other,148,94,95,189,96,79,72,62,59,41,40,41,31,29,22,13,7,5,1123
Frederick County,2020,Total Non-Hispanic Other,1506,1430,2230,2029,1371,1403,1284,1328,1488,1571,1343,1140,938,644,375,258,198,77,20613
Kent County,2010,Total Non-Hispanic Other,75,59,40,34,30,21,26,12,16,23,25,24,22,17,6,3,5,3,441
Wicomico County,2015,Total Non-Hispanic Other,394,670,641,578,453,400,321,355,347,319,336,279,214,166,103,44,24,10,5654
Prince George's County,2025,Total Male,29923,27716,28769,27616,30039,30163,35287,33311,30332,27977,26392,26471,26113,22007,15751,11039,5889,4596,439391
Anne Arundel County,2015,Non-Hisp White Male,10855,10489,11093,11038,10398,12506,12812,10791,11398,13674,16100,15321,12912,11197,7763,4614,2934,2519,188414
Calvert County,2025,Non-Hisp Other Female,173,155,151,282,195,183,171,162,145,135,161,178,199,91,68,50,37,3,2539
Washington County,2015,Non-Hisp Other Male,220,511,517,372,197,154,164,145,177,149,156,142,107,58,31,31,9,2,3142
Garrett County,2020,Total Male,692,754,933,944,893,769,732,824,873,878,1008,1210,1198,1031,818,567,318,208,14650
Wicomico County,2040,Total Hispanic,979,866,722,597,537,570,668,486,387,469,568,572,338,191,102,78,30,32,8192
Baltimore City,2040,Total Male,19628,16721,16914,16486,20767,24911,22164,21707,19572,22513,22660,19787,14995,10378,8991,7634,5217,3655,294700
Talbot County,2040,Hispanic Male,173,166,151,131,120,126,143,126,100,87,132,163,105,55,24,21,13,19,1855
Howard County,2035,Non-Hisp Black Female,2874,3176,3501,3139,2237,2568,3098,3778,4209,3851,3568,2756,2415,2409,2192,1517,939,811,49038
Montgomery County,2015,Non-Hisp Other Male,6572,7130,6948,5889,4676,5315,5868,6285,6498,6226,6259,5366,4329,3465,2581,1794,1091,1204,87496
Charles County,2025,Total,11472,11467,11980,12078,10075,11071,11828,10960,10299,10078,11727,13359,13079,9904,7047,5150,2905,2033,176512
Talbot County,2040,Total Male,1018,1113,1175,1072,862,840,991,1060,975,970,1121,1151,994,1215,1363,1436,1031,1074,19461
Frederick County,2020,Hispanic Male,1160,1087,1162,1131,990,938,956,976,982,848,740,601,351,213,145,91,47,41,12459
State of Maryland,2035,Non-Hisp White Female,69782,71489,72672,65814,66245,76248,84002,87551,93217,94160,87184,77150,81099,93050,100970,89871,67672,73815,1451991
Baltimore County,2030,Total Male,24426,24912,26037,25521,24704,24845,24614,26286,26570,24724,23114,22232,22752,22541,19719,14301,9479,7823,394600
Charles County,2045,Non-Hisp Black Male,4561,4889,5268,5415,3639,3393,3479,3655,4027,4315,4122,3404,2748,2355,2527,2301,1472,702,62272
Calvert County,2040,Total Male,2657,2958,3402,3123,2182,2026,2557,3231,3845,3585,3376,2784,2171,2044,2510,2495,1718,1435,48099
Caroline County,2015,Total,1952,2370,2481,1993,1586,1925,2004,1957,2026,2275,2568,2514,2051,1754,1209,771,555,462,32453
Anne Arundel County,2010,Non-Hisp White Male,10874,11231,11914,11413,10610,12138,10945,11781,13970,16574,16032,13960,12461,9047,5730,4104,2807,2025,187616
Baltimore City,2030,Non-Hisp White Male,5309,3681,3025,2059,4246,10732,9226,10248,9369,6607,4805,3699,3477,3309,2870,2275,1420,870,87227
Wicomico County,2010,Non-Hisp White Female,1496,1673,1734,2019,3050,1978,1781,1841,2067,2445,2518,2359,2159,1653,1204,1001,923,843,32744
Carroll County,2040,Hispanic Female,357,366,354,327,289,292,307,327,284,241,204,204,144,124,52,54,32,12,3970
Cecil County,2015,Total Male,2686,3518,3700,3473,2984,3188,2937,2863,3176,3847,4207,3843,3222,2584,1614,992,608,501,49943
Allegany County,2025,Total Hispanic,65,40,51,74,104,57,51,57,48,54,68,29,27,17,21,20,6,11,800
Worcester County,2025,Total Non-Hispanic White,1586,1669,1935,1812,1765,1820,1804,2012,2167,2087,2629,3683,4724,4129,3324,2822,1929,1530,43427
Kent County,2035,Total Hispanic,70,65,64,62,61,98,74,66,48,49,51,31,22,11,3,2,2,0,779
Garrett County,2010,Total Non-Hispanic White,1473,1651,1878,2041,1502,1438,1491,1745,1968,2269,2341,2145,2004,1685,1231,878,622,512,28874
St. Mary's County,2040,Hispanic Female,511,492,453,391,343,411,462,368,285,247,236,231,165,136,138,139,55,10,5073
Baltimore City,2015,Non-Hisp Black Male,12140,13294,12681,11993,12623,11772,11009,10221,9553,10716,12088,11873,8940,6647,4202,2795,1751,1564,165862
Talbot County,2025,Non-Hisp Other Male,52,39,26,87,71,52,52,39,44,27,29,36,15,15,18,14,9,9,634
Kent County,2045,Hispanic Male,32,34,39,44,49,49,43,74,47,16,11,6,4,1,0,0,0,0,449
Allegany County,2045,Total Non-Hispanic White,2651,2889,2953,3122,3349,3120,3438,3547,3744,3899,4891,3823,4116,3312,3298,3130,2563,2423,60268
Prince George's County,2025,Non-Hisp Black Female,16453,15999,16402,15812,14974,20211,21973,20869,18097,17733,19498,21807,22495,19550,15950,12350,7194,7151,304518
Harford County,2040,Total Non-Hispanic White,9888,10019,10123,9956,9214,9310,10167,11487,12534,12412,11643,10893,9137,9366,10542,10703,9002,12342,188738
Washington County,2035,Hispanic Female,571,533,516,461,500,553,460,376,323,270,252,288,244,228,160,115,58,8,5916
State of Maryland,2020,Total Male,186198,184377,194777,185160,171539,202931,205533,198392,179186,177207,191353,206540,186700,145888,112079,72033,41836,38304,2880033
Wicomico County,2035,Non-Hisp Black Male,1390,1273,1428,1355,1265,878,1060,907,1011,1044,836,691,574,616,574,420,207,120,15649
Baltimore County,2035,Non-Hisp Black Male,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,10268,184824
Baltimore County,2025,Non-Hisp Other Male,3266,3228,3324,3865,3491,3189,2978,2809,2643,2681,2610,2105,1788,1536,1079,854,400,231,42077
Queen Anne's County,2035,Non-Hisp Other Female,112,124,99,68,59,99,93,62,55,50,45,65,80,67,69,42,33,0,1222
Harford County,2020,Non-Hisp Black Male,1228,1216,1475,1515,1007,1059,1076,1022,982,1164,1225,1233,950,618,385,167,89,110,16521
Anne Arundel County,2045,Non-Hisp Black Female,4544,4766,4622,4147,3704,4201,4767,5250,4926,4726,4832,4869,4556,3740,2974,2702,1980,1823,73129
Washington County,2030,Non-Hisp Other Male,585,546,429,344,501,456,347,260,196,208,177,239,201,146,104,66,19,1,4825
Baltimore City,2015,Non-Hisp Black Female,11779,13196,12238,12164,14682,15525,14376,12333,11418,12582,15343,15003,12705,9547,6634,4948,3604,3773,201850
Montgomery County,2035,Non-Hisp White Male,8077,8944,9830,8581,6680,7904,8036,9555,12604,13914,12637,10131,9906,10335,10892,9958,7527,6636,172147
Allegany County,2025,Total Male,1712,1866,1763,1919,2130,1793,2491,2063,2077,1781,1937,2279,2327,2118,1712,1349,817,705,32839
Frederick County,2025,Non-Hisp White Male,6088,5147,4793,5311,6406,7261,6982,6172,5388,4727,5395,6627,7801,6676,4996,3903,2468,2050,98191
Carroll County,2010,Non-Hisp Other Male,293,325,252,226,142,97,99,140,156,184,137,107,66,52,39,19,7,5,2346
Caroline County,2040,Non-Hisp White Female,921,994,923,780,624,742,1028,1227,1047,1030,1062,1020,893,856,911,821,595,456,15930
Caroline County,2025,Hispanic Female,226,169,178,142,205,136,122,89,90,45,37,32,16,15,11,8,1,5,1527
Worcester County,2035,Total,2724,2772,3184,2896,2568,2822,2918,2809,3035,3315,3459,3619,4431,4964,5023,3908,2559,2426,59432
Wicomico County,2030,Non-Hisp Other Female,314,257,212,232,484,429,363,268,259,221,222,212,169,155,121,81,64,18,4081
Harford County,2020,Total Female,7254,7140,7919,7858,7459,8054,8156,8389,7567,8012,9301,10472,9601,7730,6311,4266,2735,3514,131738
Prince George's County,2045,Total Female,28314,26606,26245,26695,29399,32130,31802,29526,28703,29606,32359,31608,27790,24455,21652,21015,18277,34712,500894
Wicomico County,2015,Total,5538,6339,6407,6426,8794,6805,5596,6089,5538,5982,6776,6845,5949,4989,3592,2289,1660,1797,97411
Kent County,2040,Non-Hisp Black Male,51,45,43,41,44,40,58,59,107,139,173,142,130,135,98,81,59,45,1490
Wicomico County,2020,Non-Hisp Black Female,1079,1119,1055,993,1055,1076,1039,997,908,721,791,961,947,687,438,277,154,175,14472
Caroline County,2015,Total Female,957,1134,1286,969,870,971,1006,1028,1042,1155,1314,1294,1090,902,670,394,331,316,16729
Frederick County,2025,Non-Hisp Other Male,1219,831,792,1128,745,743,708,608,654,715,784,686,613,497,259,166,96,43,11287
Calvert County,2025,Non-Hisp Other Male,187,174,185,287,170,156,122,114,103,93,112,128,120,78,49,33,12,5,2128
Kent County,2030,Total Non-Hispanic White,521,646,701,658,650,679,471,700,848,771,872,1033,1398,1810,1591,1201,939,791,16280
Allegany County,2025,Total Non-Hispanic Black,127,121,118,144,220,145,233,287,163,101,101,116,127,62,68,51,38,43,2265
Carroll County,2045,Non-Hisp Black Female,252,219,238,203,182,168,202,243,469,537,566,537,348,300,342,308,195,143,5452
Talbot County,2030,Non-Hisp White Female,527,649,635,547,483,598,630,794,955,910,791,999,1193,1736,1562,1291,1039,1013,16352
Wicomico County,2020,Hispanic Male,268,275,301,232,186,243,355,342,253,169,135,120,84,46,14,10,6,8,3047
Prince George's County,2045,Non-Hisp Other Male,2361,2197,2131,2078,2531,2366,1817,2154,2259,1992,2237,2069,1833,1580,1252,725,333,231,32146
Anne Arundel County,2015,Hispanic Male,2362,2189,1812,1485,1624,1913,2297,1990,1552,1182,893,634,392,234,140,99,60,27,20885
Frederick County,2025,Hispanic Female,1471,1243,1293,1284,1218,1347,1099,1005,1012,1010,855,745,618,467,248,186,93,74,15268
Wicomico County,2015,Non-Hisp Black Female,1022,1006,951,909,1092,975,918,859,771,759,929,920,765,515,310,242,153,166,13262
St. Mary's County,2045,Hispanic Female,537,545,511,453,409,369,442,441,372,296,256,188,235,174,139,138,69,15,5589
Washington County,2040,Total Hispanic,1194,1190,1136,1128,1013,1097,1139,959,810,684,588,602,600,492,435,193,129,13,13402
Calvert County,2015,Non-Hisp Black Female,289,317,383,395,416,354,296,333,400,560,565,514,403,302,207,161,88,101,6084
Somerset County,2035,Non-Hisp White Male,258,243,260,261,232,215,259,314,370,402,424,437,449,404,505,397,264,186,5880
Carroll County,2020,Non-Hisp White Female,3370,3670,4113,4375,3583,3598,4152,4180,3614,4680,6210,6984,6033,5134,4335,3065,1969,2412,75477
Harford County,2040,Non-Hisp White Female,4802,4842,4883,4809,4501,4645,5104,5765,6394,6291,5840,5479,4797,4993,5767,5935,5152,8365,98364
Dorchester Co,2040,Non-Hisp Other Male,71,71,71,60,37,39,72,51,41,32,27,26,26,22,21,18,5,1,691
Anne Arundel County,2040,Hispanic Female,3144,2973,2717,2500,2426,2601,2541,2254,1865,1737,1961,2037,1779,1171,848,591,387,178,33710
Worcester County,2040,Hispanic Male,103,108,104,81,74,85,95,98,64,78,101,97,79,66,59,41,17,30,1380
Queen Anne's County,2010,Hispanic Male,82,74,56,61,82,104,72,62,49,43,27,15,13,9,4,2,1,2,758
St. Mary's County,2035,Hispanic Female,464,437,391,330,384,432,385,282,239,228,292,163,129,136,141,111,36,9,4589
Kent County,2020,Non-Hisp Black Male,64,59,67,63,66,75,83,79,103,83,97,106,100,101,65,44,32,28,1315
Carroll County,2015,Non-Hisp Black Male,105,121,169,194,179,133,147,106,218,207,231,246,163,115,85,39,23,14,2495
Somerset County,2040,Hispanic Male,72,76,68,57,52,46,37,22,13,16,23,10,9,4,1,1,0,0,507
Howard County,2045,Total Non-Hispanic White,3690,4125,5397,5788,5030,5770,4640,4270,5986,8146,9321,7737,6753,5515,5674,7028,7989,10423,113282
Calvert County,2015,Non-Hisp Black Male,265,352,399,451,344,238,266,286,356,473,542,434,365,246,186,113,75,47,5438
Worcester County,2035,Total Non-Hispanic White,1663,1802,2189,2025,1825,1906,2010,2019,2317,2612,2783,2984,3869,4374,4356,3325,2232,2160,46451
Baltimore County,2025,Total Male,24421,25180,26948,25531,23967,25397,26343,26858,25121,23541,22661,24023,25096,23383,17685,13074,7256,7193,393678
Dorchester Co,2015,Hispanic Female,94,111,73,55,60,75,75,61,20,35,26,21,13,13,18,8,1,3,762
Caroline County,2025,Non-Hisp White Male,739,728,905,894,621,543,572,899,847,723,839,979,1016,916,633,456,235,195,12740
Carroll County,2010,Total Non-Hispanic White,7725,9967,11261,10915,7792,6870,6653,8972,12298,14504,13067,10797,9170,6669,4476,3472,2916,2546,150070
St. Mary's County,2015,Non-Hisp Other Female,280,414,388,328,238,200,208,228,217,237,243,189,148,107,73,37,17,8,3560
Prince George's County,2015,Non-Hisp Black Female,17139,17102,17350,18286,19717,22053,19551,19236,21055,23439,25080,22706,19434,15563,9752,6162,3690,3613,300928
Dorchester Co,2030,Total Non-Hispanic White,907,1047,1093,1006,915,1111,991,1268,1324,1500,1365,1414,1683,1828,1789,1174,805,654,21874
Queen Anne's County,2030,Non-Hisp Other Male,76,49,36,35,98,93,73,63,45,31,30,45,53,40,33,25,6,0,831
Caroline County,2035,Non-Hisp Black Male,201,211,183,156,139,147,137,123,107,185,205,174,140,226,249,169,76,39,2867
Anne Arundel County,2035,Total Non-Hispanic White,18299,18446,18836,17646,16690,19407,20131,21578,22680,23826,22278,19274,19954,22289,23409,18947,13440,12904,350034
Talbot County,2040,Non-Hisp White Male,652,709,752,693,522,525,608,708,691,679,795,789,729,995,1180,1253,926,958,14164
Prince George's County,2020,Total Non-Hispanic White,5486,4423,3480,3146,8464,10375,8840,6325,5364,5082,6064,8302,9410,8512,6995,5064,3302,3681,112315
Charles County,2035,Non-Hisp White Male,1176,1246,1285,1307,1301,1195,1300,1502,1531,1474,1524,1355,1462,1846,2059,1633,1037,815,25048
Montgomery County,2015,Non-Hisp Other Female,6309,6859,6899,5907,4715,5905,7312,7880,7978,7841,7471,6478,5357,4376,2969,2114,1235,1095,98700
Baltimore County,2025,Total Hispanic,5238,5130,5390,5026,4518,4115,4289,4714,4654,4126,3319,2408,1805,1332,788,473,195,149,57669
Anne Arundel County,2030,Total Non-Hispanic White,19021,19032,19120,18152,16035,19653,21883,23340,24280,22792,19998,21341,24275,26329,22615,17534,12964,10278,358642
Talbot County,2030,Total Female,903,1002,980,886,833,928,897,1066,1215,1212,1083,1248,1475,1993,1792,1486,1175,1138,21312
Frederick County,2030,Total Hispanic,3440,3028,2577,2590,2669,2665,2574,2172,2029,2072,2075,1757,1494,1263,820,457,316,195,34193
Allegany County,2015,Non-Hisp White Female,1240,1480,1568,1687,1940,1371,1847,1507,1813,1970,2391,2411,2264,2184,1696,1392,1002,1061,30824
St. Mary's County,2035,Non-Hisp White Male,3377,3373,3386,2938,2399,3205,3459,3529,3592,3496,3335,2749,2313,2579,2673,1856,1057,997,50313
Wicomico County,2040,Non-Hisp White Male,1683,1839,1843,1773,2342,1664,1822,2188,2146,2224,1904,1646,1771,1567,1465,1427,1119,1245,31668
Dorchester Co,2015,Total Non-Hispanic White,901,1010,1093,855,931,1052,1166,1056,1122,1377,1747,1838,1622,1497,1283,771,546,529,20396
Caroline County,2035,Hispanic Female,293,274,232,173,187,150,209,127,114,42,44,46,19,11,10,14,5,9,1959
Wicomico County,2015,Non-Hisp Other Female,172,361,357,315,241,205,169,183,184,172,155,145,120,100,52,21,20,8,2980
Queen Anne's County,2015,Hispanic Male,99,97,78,61,68,92,107,75,70,53,44,27,15,13,4,4,2,3,912
Baltimore County,2015,Non-Hisp Black Female,7547,8092,8213,8094,9183,9338,8762,8668,8760,9013,9128,8122,6795,5416,3206,2008,1300,1430,123075
Frederick County,2035,Total,21710,20871,20197,16398,13983,18115,23432,23710,21314,17740,16495,15066,16047,17116,17164,13884,9676,10322,313240
Calvert County,2020,Non-Hisp Black Male,287,283,400,385,359,263,292,304,367,368,504,541,434,346,231,159,93,57,5673
Allegany County,2040,Non-Hisp Other Female,126,137,130,109,116,126,147,130,105,77,71,60,44,31,24,13,18,10,1474
Queen Anne's County,2015,Total Hispanic,198,194,150,135,115,155,167,148,128,104,95,56,28,18,11,13,6,3,1724
Cecil County,2045,Total Female,4369,4723,4498,4277,4051,4133,3877,4653,4335,3696,3692,3712,3438,3266,3231,3365,2824,3216,69356
Carroll County,2035,Non-Hisp Black Male,216,197,162,114,99,118,218,252,311,251,241,235,374,301,310,169,62,44,3674
Cecil County,2025,Non-Hisp White Male,2435,2373,2303,2810,2583,2370,2658,2764,2499,2594,2891,3441,3726,3020,2237,1618,859,764,43945
Wicomico County,2025,Hispanic Female,301,275,285,337,233,185,227,246,257,196,139,95,54,37,23,20,7,14,2931
Howard County,2020,Non-Hisp White Female,3804,3746,3891,4232,3974,5465,4545,4618,4176,4784,6266,7760,7067,6118,4896,3509,2086,2118,83055
Anne Arundel County,2020,Total Hispanic,4585,4758,4500,3692,3235,3314,3883,4309,3806,3029,2293,1735,1260,739,461,286,185,104,46174
Calvert County,2045,Non-Hisp White Female,1716,2041,2256,2174,1762,1657,1901,1997,2408,2670,2580,2361,2011,1505,1619,2092,2153,2640,37543
Dorchester Co,2030,Total,2091,2072,2142,2024,2037,1945,1780,2146,2378,2471,2205,2256,2521,2592,2454,1619,1021,969,36723
Somerset County,2030,Non-Hisp Other Female,38,52,40,33,57,42,42,37,35,20,19,13,10,13,15,8,5,3,482
Frederick County,2020,Total Hispanic,2319,2190,2314,2196,2001,1916,1877,1919,1914,1668,1439,1190,771,462,324,186,114,95,24895
Harford County,2045,Total Non-Hispanic White,9665,9806,9894,9671,9279,10165,10138,10583,11261,12249,12064,11262,10374,8495,8482,8737,9055,14514,185694
Baltimore County,2035,Hispanic Male,2740,2647,2669,2589,2690,2492,2242,2083,2248,2540,2541,2207,1722,1198,670,469,197,110,34054
Talbot County,2025,Hispanic Female,171,163,181,147,114,78,73,92,114,108,75,60,43,34,19,13,3,2,1490
Calvert County,2035,Non-Hisp Black Female,322,344,412,347,300,303,373,473,611,575,411,462,453,599,584,476,276,205,7526
Talbot County,2020,Total Female,815,915,1033,960,749,870,947,1037,996,1103,1283,1612,1669,1787,1578,1214,792,822,20182
Cecil County,2045,Hispanic Female,351,360,338,332,323,273,281,375,285,269,255,176,191,164,100,81,42,23,4219
Howard County,2045,Non-Hisp Black Male,3050,3404,3840,3882,2595,2694,2833,2773,2912,2945,2881,2367,2340,1818,1295,1142,835,706,44312
